id,text_v2,sentence_count,char_length,word_count,label_id,category,subject,n_urls,n_emails,n_phones,n_quote_lines
10,"Several recent posts have identified the English word 'Easter' with
the Babylonian goddess 'Ishtar'.

'Easter' is a pagan word all right, but it has nothing to do with Ishtar.
If 'Easter' and 'Ishtar' were related, their history would show it.
But in Old English, Easter was 'Eostre', cognate with English 'East'
and German 'Ost'. The reconstructed Proto-Germanic form is 'Austron'.
Not until after 1400 did 'Easter' have a high front vowel like 'Ishtar'.
Clearly, the two words have quite separate origins.

There may be neo-pagans who worship Ishtar at Easter, but if so, they
are making either a mistake of etymology, or a deliberate play on words.

-- Michael Covington (Ph.D., linguistics)",9,694,112,2,soc.religion.christian,'Easter' not derived from 'Ishtar',0,1,1,0
11,"(dean.kaflowitz) wrote:

Dress casual. Only in heaven is there a dress code (black tie and
self-important expression)

Don't forget to sing:
They say there's a heaven for those who will wait
Some say it's better, but I say it ain't
I'd rather laugh with the sinners than cry with the saints
The sinners are much more fun
Only the good die young!",2,345,62,0,alt.atheism,Re: YOU WILL ALL GO TO HELL!!!,0,5,0,20
12,"True. At first, the news media seemed entranced by all the new gizmos
the military was using, not to mention the taped video transmissions from
the missiles as they zeroed in on their targets. But later, and especially
after the bunker full of civilians was hit, they changed their tone. It
seemed to me that they didn't have the stomach for the reality of war,
that innocent people really do die and are maimed in warfare. It's like
they were only pro-Gulf-War as long as it was ""nice and clean"" (smart
missiles dropping in on military HQs), but not when pictures of dead,
dying, and maimed civilians started cropping up. What naive hypocrites!

[ discussion about blanket-bombing and A-bombs deleted.]

^^^^^^^^^

I should have said here ""militarily justified"". It seems from your
comments below that you understood this as meaning ""morally justified"".
I apologize.

I have often wondered about this. I've always thought that the first bomb
should have been dropped on Japan's island fortress of Truk. A good,
inpenatrable military target. The second bomb could've been held back
for use on an industrial center if need be. But I digress.

Yes, I have heard that we found evidence (after the war, BTW) that Japan
was seriously considering surrender after the first bomb. Unfortunately,
the military junta won out over the moderates and rejected the US's
ulimatum. Therefore the second bomb was dropped. Most unfortunate, IMO.

I don't regret the fact that sometimes military decisions have to be made
which affect the lives of innocent people. But I do regret the
circumstances which make those decisions necessary, and I regret the
suffering caused by those decisions.

[...]

Actually, it was the fact that both situations existed that prompted US
and allied action. If some back-water country took over some other
back-water country, we probably wouldn't intervene. Not that we don't
care, but we can't be the world's policman. Or if a coup had occured
in Kuwait (instead of an invasion), then we still wouldn't have acted
because there would not have been the imminent danger perceived to
Saudi Arabia. But the combination of the two, an unprovoked invasion
by a genocidal tyrant AND the potential danger to the West's oil
interests, caused us to take action.

[...]

I'm not setting up a strawman at all. If you want to argue against the
war, then the only logical alternative was to allow Hussein to keep
Kuwait. Diplomatic alternatives, including sanctions, were ineffective.

Well, in a sense, yes. They probably had no idea of what end Hitler
would lead their nation to.

They suffered along with the rest. Why does this bother you so much?
The world is full of evil, and circumstances are not perfect. Many
innocents suffer due to the wrongful actions of others. It it regretable,
but that's The-Way-It-Is. There are no perfect solutions.

[...]

Probably because we're not the saviors of the world. We can't police each
and every country that decides to self-destruct or invade another. Nor
are we in a strategic position to get relief to Tibet, East Timor, or
some other places.

Tell me how we could stop them and I'll support it. I, for one, do not
agree with the present US policy of ""sucking up to them"" as you put it.
I agree that it is deplorable.

Are they? Or are they supposed to reflect the population of the locale
where the trial is held? (Normally this is where the crime is committed
unless one party or the other can convince the judge a change of venue
is in order.) I'm not an expert on California law, or even US law, but
it seems that this is the way the system is set up. You can criticize
the system, but let's not have unfounded allegations of racial
prejudice thrown around.

No, not at all. The point is that the fact that there were no blacks
on the first jury and that Rodney King is black is totally irrelevant.

Germans, perhaps. ""Peers"" doesn't mean ""those who do the same thing"",
like having murderers judge murderers. It means ""having people from
the same station in life"", presumably because they are in a better
position to understand the defendent's motivation(s).

OK, granted. However, you are using this reasoning as part of *your*
logical argument in this discussion. This is not a court of law.

The media is not totally monolithic. Even though there is a prevailing
liberal bias, programs such as the MacNeil-Lehrer News Hour try to give
a balanced and fair reporting of the news. There are even conservative
sources out there if you know where to look. (Hurrah for Rush!)

BTW, I never used the word ""conspiracy"". I don't accept (without *far*
more evidence) theories that there is some all-pervading liberal
conspiracy attempting to take over all news sources.

Hardly. I didn't say that it's a Good Thing [tm] to kill innocent people
if the end is just. Unfortunately, we don't live in a perfect world and
there are no perfect solutions. If one is going to resist tyranny, then
innocent people on both sides are going to suffer and die. I didn't say
it is OK -- it is unfortunate, but sometimes necessary.

I would agree that it was evil in the sense that it caused much pain
and suffering. I'm not so sure that it was unnecessary as you say. That
conclusion can only be arrived at by evaluating all the factors involved.
And perhaps it *was* unnecessary as (let's say) we now know. That doesn't
mean that those who had to make the decision to bomb didn't see it as
being necessary. Rarely can one have full known of the consequences of
an action before making a decision. At the time it may have seemed
necessary enough to go ahead with it.

But don't assume that I feel the bombing was *morally* justified -- I
don't! I just don't condemn those who had to make a difficult
decision under difficult circumstances.

You certainly are not in such a position if you are a moral relativist.
I, as an absolutist, am in a position to judge, but I defer judgment.

Wrong. They were neither moral then nor now. They seemed necessary to
those making the decisions to bring a quick end to the war. I simply
refuse to condemn them for their decision.

One day I will stand before Jesus and give account of every word and action;
even this discourse in this forum. I understand the full ramifications of
that, and I am prepared to do so. I don't believe that you can make the
same claim.

And BTW, the reason I brought up the blanket-bombing in Germany was
because you were bemoaning the Iraqi civilian casualties as being
""so deplorable"". Yet blanket bombing was instituted because bombing
wasn't accurate enough to hit industrial/military targets in a
decisive way by any other method at that time. But in the Gulf War,
precision bombing was the norm. So the point was, why make a big
stink about the relatively few civilian casualties that resulted
*in spite of* precision bombing, when so many more civilians
(proportionately and quantitatively) died under the blanket bombing
in WW2? Even with precision bombing, mistakes happen and some
civilians suffer. But less civilians suffered in this war than
any other iany other in history! Many Iraqi civilians went about their lives
with minimal interference from the allied air raids. The stories
of ""hundreds of thousands"" of Iraqi civilian dead is just plain bunk.
Yes, bunk. The US lost 230,000 servicemen in WW2 over four years
and the majority of them were directly involved in fighting! But
we are expected to swallow that ""hundreds of thousands"" of
*civilian* Iraqis died in a war lasting about 2 months! And with
the Allies using the most precise bombs ever created at that!
What hogwash. If ""hundreds of thousands"" of Iraqi civilians died,
it was due to actions Hussein took on his own people, not due to
the Allied bombing.

Regards,

Jim B.

Newsgroup: alt.atheism
document_id: 53324",100,7791,1345,0,alt.atheism,Re: Death Penalty / Gulf War (long),0,5,0,173
13,"Rex (<EMAIL>) writes:

jubilee, Pope >Leo the 12th had a medallion cast with his own image on
one side and on >the other side, the Church of Rome symbolized as a
""Woman, holding in >her left hand a cross, and in her right a cup with
legend around her, >'Sedet super universum', 'The whole world is her
seat.""

You read more into the medal than it is worth. The Woman is the
Church. Catholics have always called our Church ""Holy Mother Church""
and our ""Mother."" An example would be from St. Cyprian of Carthage, who
wrote in 251 AD, ""Can anyone have God for his Father, who does not have
the Church for his mother?""
Hence the image of the Church as a woman, holding a Cross and a Cup,
which tell of the Crucifxition of Our Lord, and of the power of His
Blood (the grail legend, but also, more significantly, it shows that
""This is the Cup of the New Covenant in my blood, which shall be shed
for you and for many."" (Luke 22.20), the Cup represents the New Covenant
and holds the blood of redemption). The fact that the woman is holding
both and is said to have the whole world for her seat, is that the
Catholic Church is catholic, that is universal, and is found throughout
the world, and the Church shows the Crucifixtion and applies the blood
of redemption to all mankind by this spread of hers, thorugh which the
Holy Sacrafice of the Mass, can be said and celebrated in all the
nations as Malachi predicted in Malachi 1.11, ""From the rising of the
sun to its setting, my name is great among the gentiles, and everywhere
there is sacrafice, and there is offered to my Name a clean oblation,
for my Name is great among the gentiles, says the Lord of hosts."" And
so we acknowledge what St. Paul wrote ""For as often as you eat this
bread and drink this cup, you show the Lord's death until he comes."" (1
Corinthians 11.26)

You are quite right about the identification of ""Babylon the Great,
Mother of all Harlots"" with Rome. I think we simply disagree as to what
time period of Rome the Apostle John is talking about.

Andy Byler

Newsgroup: soc.religion.christian
document_id: 21404",12,2084,383,2,soc.religion.christian,Re: Revelations - BABYLON?,0,1,0,1
14,"<EMAIL> (Charley Wingate) writes:

]The ""corrupted over and over"" theory is pretty weak. Comparison of the
]current hebrew text with old versions and translations shows that the text
]has in fact changed very little over a space of some two millennia. This
]shouldn't be all that suprising; people who believe in a text in this manner
]are likely to makes some pains to make good copies.

Tell it to King James, mate.

]C. Wingate + ""The peace of God, it is no peace,
] + but strife closed in the sod.
]<EMAIL> + Yet, brothers, pray for but one thing:
]tove!mangoe + the marv'lous peace of God.""

John Burke, <EMAIL>",7,616,110,0,alt.atheism,Re: A Little Too Satanic,0,4,0,3
15,"|> Hello. I just started reading this group today, and I think I am going
|> to be a large participant in its daily postings. I liked the section of
|> the FAQ about constructing logical arguments - well done. I am an atheist,
|> but I do not try to turn other people into atheists. I only try to figure
|> why people believe the way they do - I don't much care if they have a
|> different view than I do. When it comes down to it . . . I could be wrong.
|> I am willing to admit the possibility - something religious followers
|> dont seem to have the capability to do.

Welcome aboard!

|>
|> I notice alot of posts from Bobby. Why does anybody ever respond to
|> his posts ? He always falls back on the same argument:

(I think you just answered your own question, there)

|>
|> ""If the religion is followed it will cause no bad""
|>
|> He is right. Just because an event was explained by a human to have been
|> done ""in the name of religion"", does not mean that it actually followed
|> the religion. He will always point to the ""ideal"" and say that it wasn't
|> followed so it can't be the reason for the event. There really is no way
|> to argue with him, so why bother. Sure, you may get upset because his
|> answer is blind and not supported factually - but he will win every time
|> with his little argument. I don't think there will be any postings from
|> me in direct response to one of his.

Most responses were against his postings that spouted the fact that
all atheists are fools/evil for not seeing how peachy Islam is.
I would leave the pro/con arguments of Islam to Fred Rice, who is more
level headed and seems to know more on the subject, anyway.

|>
|> Happy to be aboard !

How did you know I was going to welcome you abord?!?

|>
|> Dave Fuller
|> <EMAIL>
|>
|>

Brian /-|-\",24,1797,358,0,alt.atheism,Re: New Member,0,3,0,0
16,"That's a very weak argument--due the lack (with regard to critical
events) of independent supporting texts.

As for the dating of the oldest extant texts of the NT.... How would
you feel about the US Civil War in a couple of thousand years if the
only extant text was written about *now*? Now adjust for a largely
illiterate population, and one in which every copy of a manuscript is
done by hand....

--Hal",3,407,73,2,soc.religion.christian,Re: Ancient Books,0,3,1,3
17,"<EMAIL> (Kent Sandvik) writes:

On a similar note, a good friend of mine worked as a clerk in a
chain bookstore. Several of his peers were amazing, one woman in
particular:

A customer asked her if they had _The Autobiography of Benjamin
Franklin_. ""Who's it by?"" was her first question. Then, ""Is he
still alive?"" Then, ""Is it fiction or non-fiction?""

Finally my friend intervened, and showed the guy where it was.

It makes one wonder what the standards of employment are.

-- Scott Sauyet <EMAIL>",9,500,86,0,alt.atheism,,0,2,0,13
18,"<EMAIL> writes:

The above is probably not the most representative paragraph, but I
thought I'd hop on, anyway...

What strikes me as self-contradicting in the fable of Lucifer's
fall - which, by the way, I seem to recall to be more speculation
than based on biblical text, but my ex RCism may be showing - is
that, as Benedikt pointed out, Lucifer had perfect nature, yet he
had the free will to ""choose"" evil. But where did that choice come
from?

We know from Genesis that Eve was offered an opportunity to sin by a
tempter which many assume was Satan, but how did Lucifer discover,
invent, create, call the action what you will, something that God
had not given origin to?

Also, where in the Bible is there mention of Lucifer's free will?
We make a big fuss about mankind having free will, but it strikes me
as being an after-the-fact rationalisation, and in fact, like
salvation, not one that all Christians believe in identically.

At least in my mind, salvation and free will are very tightly
coupled, but then my theology was Roman Catholic...

Still, how do theologian explain Lucifer's fall? If Lucifer had
perfect nature (did man?) how could he fall? How could he execute an
act that (a) contradicted his nature and (b) in effect cause evil to
exist for the first time?",10,1281,227,0,alt.atheism,A fundamental contradiction (was: A visit from JWs),0,2,0,3
19,"Nothing is perfect. Nothing is perpetual. i.e. even if it is perfect,
it isn't going to stay that way forever.

Perpetual machines cannot exist. I thought that there
were some laws in mechanics or thermodynamics stating that.

Not an atheist
BN",7,244,41,0,alt.atheism,Re: Slavery (was Re: Why is sex only allowed in marriage: ...),0,2,2,6
20,"Just a shot here, but ya never know:

I once bought a (REAL) cheap equalizer / power amp for my car tape player
at one of those motel-room truckload sales, and it sounded great. For a
while, that is. Then one channel quit entirely. I opened it up, and the
amplifier chip for the bad channel had simply melted some of its solder
joints attaching it to the PCB. I soldered them back and it worked fine.
I just had to keep the volume a bit lower than I did before. Probably
lousy heat sinking.

You said ""a nice Alpine"" which I'm sure is a few orders of mag higher
in quality than the P.O.S. I had. But the point is - look inside before
you scrap it, since you OCCASIONALLY find something you can repair.
Maybe even the same thing I found.

Good luck!

Newsgroup: sci.electronics
Document_id: 53514",13,795,149,1,sci.electronics,Re: Need help with car stereo....,0,0,0,0
21,"But wouldn't that go for any sin. My father told me when he was growing
up Catholics were not allowed to associate with anyone who was divorced.
There are a few verses prohibitting divorce. Somehow, divorce became
acceptable (even in Catholicism anullments). Certainly it is no longer
a sin to associate with a divorced person. The point is that each person
has their own temptations to deal with. Paul repeatedly talks about the
""thorn"" in his side, some think it refers to lust, others pride, but
who knows. Whatever the thorn was, apparently it was not ""compatible""
with Christianity, yet does that make his epistles any less? The Bible
warns us against judging, greed, anxiety, impure thoughts, bearing grudges,
etc., etc. I suppose we should seek out all the so-called Christians
who have entertained impure thoughts and oust them. All those who have
given in to greed, get 'em outta here. Jesus pointed out that he
was the physician for the sinners. Any attempts to make homosexuals
feel unwelcome because of our discomfort with homosexuality is incompatible
with Christianity. Is our hatred so deep that rather than see someone
try to become closer to Jesus, we need to keep them away. Does Jesus need
us to screen out those guilty of a particular sin. Do we really mistrust
Jesus when he says he can forgive any sin?

Think about it. Among the people Jesus encountered were sinners and
the Pharisees. The sinners he embraced and forgave. The Pharisees,
hypocritcal, unmerciful, self-righteous, pointed out others sins and
did not seek and thus did not gain forgiveness of their own sins. What
I take from this and other verses is that if we do not admit our sins,
those sins will not be forgiven. And since those guilty of even one sin
are guilty of the whole law, those not repenting the judging of others
are guilty, as guilty as if they committed the same sin they judged others
of.

The poor in spirit, meek, humble, merciful, pure of heart, peacemakers,
those who thirst for justice, those who suffer for His sake are blessed.

Joe Moore

Newsgroup: soc.religion.christian
document_id: 21429",24,2104,358,2,soc.religion.christian,Re: Homosexuality issues in Christianity,0,2,0,11
22,"<EMAIL> (Louis Leclerc) writes:

They are illegal here in Manitoba as well though I don't know what
methods are used to detect them.

It has always amazed me with the way the laws work. It is not illegal to
sell them here in Manitoba, only to have them within a vehicle. (Last I
heard, they don't have to be installed to be illegal.)

<EMAIL>
The Inquiring Mind BBS, Winnipeg, Manitoba <PHONE>

Newsgroup: sci.electronics
document_id: 53566",5,440,75,1,sci.electronics,Re: Radar detector DETECTORS?,0,4,1,17
23,"Try WD-40

Newsgroup: sci.electronics
document_id: 54287",1,56,6,1,sci.electronics,Re: solvent for duct-tape adhesive?,0,4,1,18
24,"|> <EMAIL> (Jon Livesey) writes:
|> > And we, meaning people who drive,
|> > accept the risks of doing so, and contribute tax money to design systems
|> > to minimize those risks.
|>
|> Eh? We already have systems to minimize those risks. It's just that you car
|> drivers don't want to use them.
|>
|> They're called bicycles, trains and buses.

Poor Matthew. A million posters to call ""you car drivers"" and he
chooses me, a non car owner.

jon.

Newsgroup: alt.atheism
Document_id: 51192",9,489,88,0,alt.atheism,Re: <Political Atheists?,0,3,0,0
25,"<EMAIL> (Allen Koberg) writes:

I guess there are at least some people who are not able to support
this claim. There are still a lot of languages without the Bible, or a
part of the Bible. There are still many languages which we are not
able to write, simply because the written version of the language has
not yet been defined!

I guess this is one of the main goals for Wycliffe Bible Translators:
To define rules and a grammar for writing the 'rest' of the languages
of this world. I do not see that any of them will have any reason to
become unemployed during the foreseeable future. (Provided they get
their neccessary support!) And still they are one of the 3 largest
missionary organizations of the world.

Bjorn",8,719,130,2,soc.religion.christian,Re: The Bible available in every language (was Re: SATANIC TOUNGES),0,3,0,4
26,"Who does the categorizing?

---

"" I'd Cheat on Hillary Too.""

John Laws
Local GOP Reprehensitive
Extolling ""Traditional Family Values.""

Newsgroup: alt.atheism
Document_id: 53781",4,179,24,0,alt.atheism,Re: The Inimitable Rushdie,0,2,0,2
27,"It is important if Christianity is being damaged by it. If
people who ""speak in tongues"" make claims that they are
miraculously speaking a foreign language through the power of
the Holy Spirit, when it can easily be shown that they are simply
making noises, it damages all Christians, since many who are
not Christians do not distinguish between the various sects.

The more modest claim for ""tongues"" that it is simply
uncontrolled praise in which ""words fail you"" is surely the one
that should be used by those who make use of this practice.

I agree with the point that ""Charismatic"" practices like this
can lead to forms of worship which are more about the
worshipper showing off than genuine praise for God; one of the
things Jesus warned us about.

Matthew Huntbach

Newsgroup: soc.religion.christian
Document_id: 21529",5,825,138,2,soc.religion.christian,Re: SATANIC TOUNGES,0,2,0,5
28,"Hello everyone.

Last week I posted a similar question to alt.wedding. Now I come in
search of a deeper-level answer.

My fiance is Lutheran and I am Catholic. We plan on getting married in
her church because she is living there now and I plan on moving there
in a month or so. I called my Catholic priest to find out what I needed
to do in order for the marriage to be recognized by my church.

Needless to say that I have found that there is no ""hard and fast"" rule
when it comes to how the Catholic law for interfaith weddings is interpreted.
But I'm pretty sure that we CAN get married without too much problem; the
trick lies in the letter of dispensation.

But that is not why I am here....

What I'd like to know is:
What are the main differences between the Lutheran and Catholic religions?
My priest mumbled something about how the Eucharist was understood...
I have heard that if two religions combine soon, it would be these two.

Any help would be appreciated...

Thanks so much!

Bill",14,997,184,2,soc.religion.christian,Interfaith weddings,0,1,0,0
